Image,Generated Sentence,Original Sentence,Similarity Score
4fcc6ce7-6237-4f59-b6b8-7f4b01f8ec5e.png,"arait of a of, - wave, hyperrealism, futurism 4 k, octane render jo, ric estrada, ron english and ei wearing headphones negative n nope no not no not no not but it's not monaisaisa is wearing headphones she not","painted closeup portrait of tree man, masculine, fierce, charming, majestic, fantasy, intricate, elegant, extremely detailed digital painting, concept art, sharp focus illustration art by alphonse mucha by chuck close, charcoal on canvas ",80.36%
27bfd0e7-04bf-41c8-8833-df24271b3f28.png,"arait of a urban,adz, - wave, hyperrealism,urism 4 k, octane render , fi rada, ron english and ei wearing headphones on negative n nope no not but it's not mon l lisa is wearing headphones she mon","a woodblock print of a teenage asian android pilot by otomo, by ellen jewett, hyperdetailed drawing, cybernetic scifi spacecraft cockpit, colors by moebius, high detail intricate, symmetrical - n 4 ",80.20%
a0f0ea5d-f393-43b1-bc57-0cc32249a8f4.png,"a 9 of a of vintage, wow detail, intricate environment ~ ones golden hourada, houron english and ei wearing headphones negative nope no but it's not monaisaisa wearing headphones she mon not","kill the mockingbird, old vintage photography, damaged illustration, daguerreotype, archive, film artifacts, scratches, tears, hyperrealistic, ultra detailed ",71.84%
00d83a64-a624-4ef2-a9b0-2666cde02218.png,"arait of a of,ad, - wave, hyperrealism, futurism 4 k, octane render , ric estrada, ron english and ei wearing headphones negative n nope no not no not no not but it's not monaisaisa is wearing headphones she not","portrait of a cloaked female devil, evil, ominous, luscious, stunning, detailed, by artgerm, by greg rutkowski, by luis royo, by pixar, by myazaki, gothic, final fantasy, fantasy, medieval ",73.50%
5ebd8d33-c6ff-4ae7-a7b5-2ffb6ffacf03.png,"arait of a of,urism 4 k, octane jo, ric estrada on english ei wearing headphones negative nope no not no not no not but it's not monaisaisa is wearing headphones she not","beautiful painting of a psychedelic alchemist smoking a bong with psychedelic smoke coming out of it, octane render, peter mohrbacher, denis sarazhin, beeple, greg rutkowski, tomasz alen kopera, vibrant colors, highly detailed, dramatic lighting, 8 k, trending on artstation, very coherent ",71.90%
db7b93fc-164d-4daa-9f9d-fa238a6c33a3.png,"a 9 of a of vintage, wow detail, intricate environment ~ ones golden hourada, houron english and ei wearing headphones negative nope no but it's not monaisaisa wearing headphones she mon not","portrait of a cloaked female demoness, evil, ominous, luscious, ginger hair, stunning, detailed, by artgerm, by greg rutkowski, by luis royo, by pixar, by myazaki, gothic, final fantasy, fantasy, medieval ",75.44%
c737e560-f2d3-46ae-b01a-39a7cf8563b6.png,"arait of a, , 4, octane , ric wearing headphones negative nope no not no not no not but it's not monaisaisa wearing headphones she not","nebula explosion, multicolor color scheme, by ian fisher and marc simonetti and brom and joseph christian leyendecker and alphonse mucha and james gurney and jean leon gerome, coloreful, highdetailed, oilpainting ",72.05%
4cdf92d8-ff98-4ac5-9607-971753c98d34.png,"arait of a of,urism radiant k, octane jo, ric estrada, ron english and ei wearing headphones negative nope no not no not no not but it's not monaisaisa is wearing headphones she mon not","an artificial intelligence doing alchemy, octane render, peter mohrbacher, denis sarazhin, beeple, greg rutkowski, tomasz alen kopera, vibrant colors, highly detailed, dramatic lighting, 8 k, trending on artstation, very coherent ",77.59%
3f369fde-4430-41a3-9d90-924ed1321b25.png,"arait of a of, intricate environment jo, ric est hourada ron english ei wearing headphones on negative nope no not no not no not but it's not monaisaisa wearing headphones she mon not","beautiful garden at twilight by annie swynnerton and nicholas roerich and jean delville, glowing paper lanterns, strong dramatic cinematic lighting, ornate tiled architecture, lost civilizations, smooth, sharp focus, extremely detailed ",79.24%
6f1b4e92-1d97-42f1-bb6a-5040b4a78a66.png,"arait of of, ,ism, 4, jeaneery atherine ones greasley vic wearing headphones negative n nope no not no not no not but's's not mona lisa is wearing headphones she mon","cute beautiful fluffy giraffe cheetah lion hybrid mixed creature character concept, with long flowing fur blowing in the wind, wearing headdress of tribal peacock feathers and flowers, detailed painting, renaissance, 4 k ",73.06%
74acdccf-94db-4f72-8468-4c3f736a5436.png,"arait of a, r hour , jeffery catherine jonesones vic wearing on negative nope no not no not no not but's's not mona lisa is wearing headphones she mon not","cyberpunk coral alucard, highly detailed, digital painting, trending on artstation, concept art, sharp focus, illustration, art by artgerm and greg rutkowski and magali villeneuve ",69.46%
512f6b78-e58b-4acb-a83a-b13855d65b9b.png,"arait of a,ut , oct and ones wearing headphones on negative nope no not no not no not but it's not monaisaisa wearing headphones she not","movie still of leyendecker hitman, octane render, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by artgerm and greg rutkowski and alphonse mucha and william - adolphe bouguereau ",69.21%
4465d91a-0336-4369-bf44-38c34d4aada3.png,"arait of a, r ,ism, 4, octane atherine ones greasley vic wearing headphones negative nope no not no not no not but's's not mona lisa is wearing headphones she mon not notaa","portrait of a dancing eagle woman, beautiful blonde haired lakota sioux goddess, intricate, highly detailed art by james jean, ray tracing, digital painting, artstation, concept art, smooth, sharp focus, illustration, artgerm and greg rutkowski and alphonse mucha, vladimir kush, giger 8 k ",69.70%
6e69e20d-efc4-424e-a1b0-5e459cb9ce56.png,"arait of a, hour , stunning, gorgeous, wow detail, intricate ~ atherine jones golden hourada wearing headphones negative negativeopeopeopeope no not but it's not monaisaisa wearing headphones she not","of beautiful zoelea ixchel no ra, dancing eagle woman, angel, goddess, mayan, 1 1 1 1, lakota sioux, engulfed in funkadelic aura, surreal illustration, alphonse mucha, rhads, ross tran, artstation, artgerm, octane render, 1 6 k ",74.00%
f7f344e0-6b32-47b4-8e8f-442761a526f6.png,"arait of a of, futurism 4 k, octane render jo, ric estrada, ron english and ei wearing headphones negative nope no not no not no not but it's not monaisaisa is wearing headphones she mon not","a tall and thin hooded, robed gray - skinned alien space elf, in a long dark flowing ornate fancy cloak, on ancient starship, science fiction, gothic, intricate, elegant, illustration, digital painting, 8 k, fine detail, art by greg rutkowski, frank frazetta, jack kirby, albert aublet, frank herbert, and alphonse mucha ",69.67%
