Name,Original prompts,Predict prompts,Quick_ration(Text Similarity),Ration(Text Similarity),Cos
00801197-b76a-4f2b-ba3c-867d8b9e3644.png,"photo cartoon illustration comic manga painting of coridor environement : 6 fantasy environement, digital painting, volumetric lighting by feng zhu, 3 d alejandro alvarez alena aenami artworks in 4 k beeple, by thomas kinkade hearstone league of legends dofus overwatch ",a portrait painting of james tissot.,22.88,17.65,16.38837637306354
00e42847-8ffc-4749-b8ae-ec873f135a8d.png,"portrait of a girl standing in foggy field at night, alien space ship ufo hovering above trees ","portrait of a dancing eagle woman, beautiful blonde haired lakota sioux goddess, intricate, highly detailed, ray tracing, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by artgerm and g",58.41,12.06,4.769935691949852
0143c218-1063-4177-8e8b-23661407e44e.png,"a plasticine werewolf, photograph, sharp focus, depth of field, cinematic lighting, inspired by ray harryhausen, ",a portrait painting of james tissot.,45.64,22.82,6.489111218323009
0181a737-c3d7-417b-bce2-f2ffadf15f0a.png,"product photo of an origami figure, shaped like a shiba inu, hyper realistic, bokeh, 4 k. ",a portrait painting of james tissot.,52.38,26.979999999999997,6.7435574942795045
0244dd6a-c4a3-4cfb-be11-c5510daeaf9c.png,"neo - tokyo street between pyramids of egypt, digital art, 3 2 k, cyberpunk, landscape, pyramids of egypt background ","portrait of a beautiful woman with horns, large piercing blue eyes, long wavy black hair, long black dress with silver jewels, black bat wings on back, detailed background, by tom bagshaw!!!!!!!!!",67.73,29.39,5.648424005658881
02767300-7a27-4f49-a7e6-2e2fe7f01b51.png,"biohazard portrait of gandalf bioshock, steampunk, tesla coils!, au naturel, hyper detailed, digital art, trending in artstation, cinematic lighting, studio quality, smooth render, unreal engine 5 rendered, octane rendered, art style by klimt and nixeu and ian sprigger and wlop and krenz cushart ","cute fluffy grey tabby border collie and tan lop eared bunny hybrid mixed creature character concept, with long flowing fur blowing in the wind, wearing headdress of tribal peacock feathers and flowers, detailed painting, renaissance, 4 k ",81.34,1.49,13.78940835031035
02daee04-6894-4860-931e-b5f4cd45707a.png,nativity by the sea ; henry ossawa tanner ; cubism ; c. 1 9 1 7 ,"a portrait painting of james tissot, robot steampunk, floral! horizon zero dawn machine, intricate, elegant, highly detailed, ray tracing, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by artger",37.41,3.4000000000000004,3.1921673568463484
02fe9cb1-27b0-4b0d-92a2-bcb3f07c3cba.png,goth groot ; vampire ; high tech armour ,a portrait painting of james tissot.,55.26,7.89,0.0
032d848b-f484-486d-b178-1a4ef8d8d564.png,"mysterious figure wearing a synthwave punk cyber cybernetic trenchcoat. photograph, postapocalyptic, over the shoulder, fashion, vimeo netflix, decorated punk trenchcoat. gentleman magician elegant ",a portrait painting of james tissot.,29.909999999999997,13.68,0.0
03399b56-27fb-4bb2-bd39-2e3121866fe3.png,die cut sticker of anime chibi kawaii cute pineapple unicorn ,a portrait painting of james tissot.,57.730000000000004,30.930000000000003,7.734781234369076
