Image,Generated Sentence,Original Sentence,quick_ratio,ratio,cosine_similarity
6cc9ac96-fc20-4c1f-88dd-d6bf3889e0af.png,"arait of a a,adz, - wave, hyperrealism, futurism 4 k, octane render , fi greada, ron english and ei wearing headphones on negative n nope no not no not no not but it's not monaisaisa wearing headphones she mon is","consumed by fear, infected nightmare, digital art by dan mumford and peter mohrbacher and louis royo, highly detailed, trending on deviantarthq ",71.91,24.16,4.31
6bf27f68-f4ff-4b44-b05e-e23e438ba698.png,"arait of of, ,ism,ism 4,aneane atherine ones greasley, vic and e wearing headphones negative n nope no not no not no but but's's not mon l lisa is wearing headphones she mon",rocket raccoon with groot driving future car in space ,42.29,19.38,0.00
66c157cc-0178-4483-8a40-a0b6ee13708b.png,"a 3 ofd hyper comic manga, hyper,aliism 4 k,ane render ey, fi rada, ronon and ei i on n nope no but but's mon lisa l wearing she mon not","zoomed - in page scan of fantasy architecture encyclopedia book, never seen before unknown ancient fantasy architecture style, diagrams, insanely detailed, informative texts and graphs, illustration with detailed text on a side, d & d, ad & d digital painting concept art artstation behance style ",60.51,2.77,2.75
e63a0810-6e6b-45d1-9e16-49bc8fcd811b.png,"arait of a of, radiant, oct and jo, ric estrada ron english ei wearing headphones on negative nope no not no not no not but it's not monaisaisa is wearing headphones she not","cute fluffy alien peacock cat hybrid mixed creature character concept, with long flowing fur blowing in the wind, and beautiful peacock feather tail, detailed painting, three quarter profile view, renaissance, detailed painting 4 k ",72.59,0.99,1.04
0aa2802b-167b-4765-84e8-10ec19df2790.png,"arait of of, , hyper,ism,ism 4,aneane atherine ones greasley, vic and e wearing headphones negative n nope no not no not no but but's's not mona lisa is wearing headphones she mon not notaa","sphinx and full figure standing sorrowful anime girl painted, in a paint splashed room, flash photography, volumetric lighting, realistic, high quality, by and james jean and luc tuymans and vincent lefevre and hernan bas and pat steir and hilma af klint, digital paint, glitch, psychological, dripping paint, generative art, 8 k high quality render, alter",65.32,2.57,5.10
68226f12-c76d-4f95-8e12-94af1bc31dfb.png,"a 9 of a of vintage, wow detail, intricate environment ~ ones golden hourada, hour english and e wearing headphones negative nope no but it's not mona lisa wearing headphones she mon not","silence, beautiful landscape, environment, cinematic, highly detailed, mid day, large scale, hyperrealistic, realistic lighting, octane render, by wlop, artgerm, by alena aenami, trending on artstation, hd, 8 k, clear, sharp ",75.91,3.41,1.56
d7aab3c9-dbca-4c5a-a37b-0a462b4af20d.png,"arait of a of a, detail, intricate environment ~, ric est hourada, ron english and ei wearing headphones on negative nope no not no not but it's not monaisaisa wearing headphones she not mon not",human goth groot ; adult male 3 0 years ; glowing green eyes ; scientist ; friendly ; sharp facial features ; slender ; vampire ; wearing high tech armour ; robot ; trending on artstation ; high detail ; digital art ,80.00,2.93,5.02
40353416-2ebd-48ae-8fe9-d79a3546648a.png,"arait of a, - wave, hyperrealism, futurism 4 k, octane render jo, ric estrada, vicon english and ei wearing headphones negative nope no not no not no not but it's not monaisaisa is wearing headphones she mon not","photo of a white fashion jewelry store, professional photographer ",46.93,16.61,2.32
7025d60e-1e2b-48ec-a954-626477642e59.png,"arait of a of a of,urism radiant k, octane intricate jo, ric estrada, ron english and ei wearing headphones on negative nope no not no not no not but it's not monaisaisa wearing headphones she not mon not","kodak portra 5 0 0, wetplate, muted colours, 2 0 0 mm lens, 1 9 3 0 s award winning vivid colour portrait deep insight inside a very surreal alice rabbit in wonderland garden szene by saul leiter, insanely detailed, insanely intricate, depth of field, motion blur, no people ",74.74,2.09,6.79
1c7cdc68-b3bc-4f25-98f4-782cae8ea74c.png,"arait of a, z, - wave, hyperrealism,ismism 4 k, octane render fi greasley, vicon english and ei headphones negative n nope no but but's's not mon l lisa is wearing headphones she not mon not",artwork by mrrevenge ,19.91,13.27,0.00
4895edcc-60c7-4e8a-b4f9-bc691ffff874.png,"arait of a, r hour , jeffery catherine jones wearing on negative nope no not no not no not but it's not mona lisa is wearing headphones she not","a tragic supernova. clean cel shaded vector art. shutterstock. behance hd, illustration ",62.34,11.26,0.00
f694cf00-c032-4fd9-908e-095f1fbd2376.png,"a 9 of a of vintage, wow detail, intricate environment ~ ones golden hourada, hour english and e wearing headphones negative nope no but it's not mona lisa wearing headphones she mon not","nebula clouds, multicolor color scheme, by jesper ejsing and peter mohrbacher and marc simonetti and brom and ian fisher and alphonse mucha and james gurney and jean leon gerome, coloreful, highdetailed, drawing, oilpainting ",82.24,1.46,8.34
27bfd0e7-04bf-41c8-8833-df24271b3f28.png,"arait of a urban,adz, - wave, hyperrealism,urism 4 k, octane render , fi rada, ron english and ei wearing headphones on negative n nope no not but it's not mon l lisa is wearing headphones she mon","a woodblock print of a teenage asian android pilot by otomo, by ellen jewett, hyperdetailed drawing, cybernetic scifi spacecraft cockpit, colors by moebius, high detail intricate, symmetrical - n 4 ",80.20,16.75,1.46
d0943fdd-8a73-4202-94a1-bcc14c15a632.png,"arait of a, r hour , trending, jeffery catherine jonesones wearing on negative nope no not no not no not but's's not mona lisa wearing headphones she mon not","nebula explosion, multicolor color scheme, by jesper ejsing and peter mohrbacher and marc simonetti and brom and joseph christian leyendecker and alphonse mucha and james gurney and jean leon gerome, coloreful, highdetailed, drawing, oilpainting ",72.46,0.99,0.00
63714301-41d9-46d3-ada5-d4b5ae6c7719.png,"arait of a urban,adz, - wave, hyperrealism,urism 4 k, octane render , fi greada, ron english and ei wearing headphones on negative n nope no not but it's not mon l lisa is wearing headphones she mon","photo cartoon illustration manga painting of small sci - fi machine shop in a shipping container, sci - fi, cyberpunk, neon lighting, noir, digital painting, intricate detail, unreal engine, 8 k, volumetric lighting, artstation ",79.34,3.29,4.14
7f00508d-401d-4d4a-bb38-6ad0efe05b45.png,"arait of comic manga, -, hyper, futur 4 4,aneane , fi rada, ron english and ei i wearing on negative n nope no not no not but it's mon l lisa wearing headphones she mon",courtroom sketch of xenomorph vs predator in a courtroom trial before a judge ,58.54,16.26,2.37
778e2079-945a-46df-8dff-f5b2f157e050.png,"a 9 of a of vintage, wow detail, intricate environment ~,ones golden hourada, ron english ei wearing headphones on negative nope no not but it's not monaisaisa wearing headphones she not is","a world in the form of a cube, octane render, peter mohrbacher, denis sarazhin, beeple, greg rutkowski, tomasz alen kopera, vibrant colors, highly detailed, dramatic lighting, 8 k, trending on artstation, very coherent ",81.37,4.90,4.62
fea0d187-02b8-4a2a-a3b5-16ef1c5ebb6b.png,"arait of a urban,awz, synth wave, hyperrealismism, futism 4 k, oct render , fi greada, ron english and ei i wearing headphones on negative n nope no but it's mon l lisa wearing headphones is mon","star trek photo cartoon illustration painting of small sci - fi machine shop in a shipping container, sci - fi, cyberpunk, neon lighting, noir, digital painting, intricate detail, unreal engine, 8 k, volumetric lighting, octane render ",79.72,6.99,5.74
2ef3691f-3551-496b-a074-c675a8bdc434.png,"arait of a urban jazz,awz, synth wave, hyperrealismism, futism 4 4, oct render , fi greada, ron english and ei wearing headphones on negative n nope no not but it's mon l lisa wearing headphones is mon","a comic art cover of a teenage asian android pilot by otomo, by ellen jewett, hyperdetailed drawing, cybernetic scifi spacecraft cockpit, colors by moebius, high detail intricate, symmetrical - n 4 ",81.20,16.54,1.47
a39e1036-1e0d-489e-95c9-80a63f10d15d.png,"arait of a of, hyperreal, futurism 4 k, octane render jo, ric estrada, ron english and ei wearing headphones on negative n nope no not no not no not but it's not monaisaisa wearing headphones she mon not","white fur mothman, big wings on back, mothman moth, by greg rutkowski ",46.15,23.44,1.70
26a00fab-7ae2-4cc5-9fee-f2aadde5e171.png,"arait of a, r hour , jeffery catherine jones wearing on negative nope no not no not no not but's's not mona lisa is wearing headphones she not","photo of a creative coder trapped in wires from part of a monitor, realistic shaded lighting poster by ilya kuvshinov, magali villeneuve, artgerm, jeremy lipkin and michael garmash and rob rey ",74.03,21.49,2.51
5efeec42-6586-440b-84ed-376d97f5a3e8.png,"arait of a, r hour , jeffery catherine jonesones vic wearing headphones on negative nope no not no not no not but it's not mona lisa wearing headphones she not",a star shaped human head ,27.17,15.22,0.00
8de56a10-6428-4f6d-94cf-597e0f49c043.png,"arait of a, hour , stunning, gorgeous, wow detail, intricate and ~ jones golden hour wearing headphones on negativeopeopeopeope no not no not it it's not monaisaisa wearing headphones she mon not","biohazard portrait of gandalf, tesla coils!, in laboratory au naturel, hyper detailed, digital art, trending in artstation, cinematic lighting, studio quality, smooth render, unreal engine 5 rendered, octane rendered, art style by klimt and nixeu and ian sprigger and wlop and krenz cushart ",70.78,4.12,4.98
59f4dd5e-9ca8-48a2-9cb5-95ce0c63db80.png,"arait of a urban jazz,adz, - wave, hyperrealism, futism 4 k, octane render , fi rada, ron english and ei wearing headphones on negative n nope no not but it's mon l lisa wearing headphones she mon","photo of a white fashion jewelry store, professional photographer ",50.38,19.85,3.06
eed8fe1b-5f2c-4fd7-aacd-335a608f1875.png,"arait of a, r hour , jeffery catherine jonesones wearing on negative n nope no not no not no not but's's not mona lisa is wearing headphones she not","a elaborate robot coding, on screen old video game shown, robot hold a controller ",61.74,26.96,1.90
914f73b1-5c3d-46ef-8155-3bba48256583.png,"arait of a of,real, futurism 4 k, octane render jo, ric estrada ron english and ei wearing headphones negative nope no not no not no not but it's not monaisaisa wearing headphones she not","portrait new female protagonist in overwatch, prepare for battle, highly detailed, beautiful, graceful, elegant, lovable, highly detailed, digital painting, artstation, concept art, sharp focus, golden ratio, smooth, octane render, sharp focus, artstation,, by artgerm, ghibly, disney, pixar, dreamworks ",72.10,0.81,1.86
31d11011-a2e9-42ca-82b4-85f92b2d77c6.png,"arait of a,ad, - wave, hyperrealism, futurism 4 k, octane render jo, ric estrada, vicon english and ei wearing headphones negative nope no not no not no not but it's not mona lisa is wearing headphones she mon not mon notaa is","nebula explosion, multicolor color scheme, by jesper ejsing and peter mohrbacher and marc simonetti and brom and joseph christian leyendecker and alphonse mucha and james gurney, coloreful, highdetailed, drawing, line, oilpainting ",81.40,0.88,5.43
6d352787-733a-4ba0-b266-20e43743d4ad.png,"arait of of, ,ism,ism 4, jeaneery atherine ones greasley vic wearing headphones negative n nope no not no not no not but's's not mona lisa is wearing headphones she mon","a surreal * * cognitive illusion * *, galactic flower garden afro girl, by oleg shupliak and jeffrey smith and thomas kinkade, oil on canvas, afrofuturism!, surrealism, astrophotography ",77.40,20.34,0.00
44d9b640-1157-44c8-95c1-4c6e5295f58f.png,"arait of of, ,ism,ism 4, octane atherine ones greasley, vic e wearing headphones negative n nope no not no not no not but's's not mona lisa is wearing headphones she not mon not","a very close - up lemon, in concept art of main menu loading screen background. for russian mmorpg by katauri, artstation, behance ",71.43,18.83,2.68
390c7e93-d6ba-4c1d-a7b4-f329391d3887.png,"arait of of, super, digital, clean, , - wave, hyperrealism,ismism 4 k,aneane render fi greasley, vicon andasleyi wearing headphones negative n nope no but but's's not mon l lisa wearing headphones she mon not","symmetry!, a surreal * * cognitive illusion * * of a black girl in a galactic flower garden, by oleg shupliak and jeffrey smith and dan mumford, oil on canvas, afrofuturism!, surrealism, astrophotography ",82.04,2.91,3.05
b59678c7-e369-42ea-b29d-ea1384c36e45.png,"arait of a, hour , stunning, gorgeous, wow detail, je and catherine jones hour wearing headphones negative negativeopeopeopeope no not but it's not monaisaisa wearing headphones she mon not","photo cartoon illustration comic manga painting of cinema environement : 6 fantasy environement, digital painting, volumetric lighting by feng zhu, 3 d alejandro alvarez alena aenami artworks in 4 k beeple, by thomas kinkade hearstone league of legends dofus overwatch ",76.86,1.31,2.58
d0545c9d-cedc-4420-b63f-00e314fe7d62.png,"arait of a,ut , oct and ones wearing headphones negative nope no not no not no not but it's not monaisaisa is wearing headphones she not","scarlet johansson as scarlet witch, au naturel, hyper detailed, digital art, trending in artstation, cinematic lighting, studio quality, smooth render, unreal engine 5 rendered, octane rendered, art style by klimt and nixeu and ian sprigger and wlop and krenz cushart ",62.38,3.47,3.91
401f374d-bd67-4a75-9c1c-14dee0d85dcf.png,"a 9 of a of vintage, wow detail, intricate environment ~ ones golden hourada, hour english and i wearing headphones negative nope no but it's not mona lisa wearing headphones she not","biohazard! portrait of gandalf, tesla coils!!, dieselpunk in laboratory au naturel, hyper detailed, digital art, trending in artstation, cinematic lighting, studio quality, smooth render, unreal engine 5 rendered, octane rendered, art style by klimt and nixeu and ian sprigger and wlop and krenz cushart ",68.72,2.88,7.34
294cc49f-22dd-4dd1-bc4e-948646379b90.png,"a 9 of a of vintage, wow detail, intricate environment ~ ones golden hourada, hour english and wearing headphones negative nope no but it's not mona lisa wearing headphones she mon not",🔗 person ,8.29,7.25,0.00
cceb0c07-a82c-4bbf-8dc2-de6b2b080a4d.png,"arait of a, , and wearing headphones on negative nope no not no not no not but it's not monaisaisa wearing headphones she not","cute fluffy baby giraffe cheetah hybrid mixed creature character concept, with long flowing fur blowing in the wind, wearing headdress of tribal peacock feathers and flowers, detailed painting, renaissance, 4 k ",66.07,2.38,5.51
03399b56-27fb-4bb2-bd39-2e3121866fe3.png,"arait of a, r hour , jeffery catherine jonesones vic wearing on negative n nope no not no not no not but it's not mona lisa wearing headphones she mon not",die cut sticker of anime chibi kawaii cute pineapple unicorn ,49.30,20.47,2.22
cd252bdb-9a81-45a0-aafe-bada8ca96602.png,"arait of of, ,ism,ism 4,aneane atherine ones greasley, vic e wearing headphones negative n nope no not no not no not but's's not mon l is wearing headphones she mon not","a very close - up golden beetle, in concept art of main menu loading screen background. for russian mmorpg by katauri, artstation, behance, style of hearthstone ",79.64,23.71,5.20
9d081f1a-e664-4827-ac95-932914fe83cf.png,"arait of a of a, ,urism radiant k, octane jo, ric estrada, ron english and ei wearing headphones on n nope no not no not no not but it's not monisaisaisa is wearing headphones she not","white and brown mothman female by greg rutkowski, insect face, creature, hybrid, bug, detailed, creepy ",62.24,16.78,1.67
299fd0de-628b-4106-87ab-a89029b67be1.png,"arait of a urban,awz, synth -, hyperrealrealism, futism 4 4, oct render , fi greada, ron english and ei i wearing on negative n nope no but it's mon l lisa wearing headphones is mon","white and brown mothman female by greg rutkowski, insect face, creature, hybrid, bug, detailed moth - wings ",69.90,13.15,2.29
2d17f3eb-cb35-43e3-be86-a988c9c42028.png,"arait of a urban,adz, - wave, hyperrealism,urism 4 k, octane render , fi greada, ron english and ei wearing headphones on negative n nope no not no not but it's not mon l lisa is wearing headphones she mon not mon","photo of small sci - fi machine shop in a shipping container, sci - fi, cyberpunk, neon lighting, noir, digital photography, intricate detail, unreal engine, 8 k, volumetric lighting, artstation do not draw that fox in picture 3 ",80.09,0.90,8.14
04bf5f3b-08ec-41ff-b82f-2de3245e300d.png,"arait of a of a, futurism 4 k, octane render jo, ric estrada, ron english and ei wearing headphones negative nope no not no not no not but it's not monaisaisa is wearing headphones she mon not","photo cartoon illustration comic manga painting of kitchen environement : 6 fantasy environement, digital painting, volumetric lighting by feng zhu, 3 d alejandro alvarez alena aenami artworks in 4 k beeple, by thomas kinkade hearstone league of legends dofus overwatch ",80.95,2.16,4.03
5e7ba3b2-f347-4b63-98f3-1eef9bb60ee4.png,"a 3 of render hyper detailed ultra sharp beautiful,ane, 8 k, futurism 4 k, octane render ey, ric estrada, ron english and ei i wearing on negative n nope no not no not no not but it's mon mona lisa wearing headphones she mon she is",you ,3.40,0.85,0.00
ce248073-c977-4a70-9f05-a088789b0728.png,"arait of a of a of,urism radiant k, octane intricate jo, ric estrada, ron english and ei wearing headphones on negative nope no not no not no not but it's not monaisaisa wearing headphones she not mon not","portrait of a woman wearing shiny white transparent leather suit, english face, refined features, moon goddess, long snow - white hair by jean gerome, edward hopper and james jean, hyper detail, 8 k, high resolution, ultra detailed ",81.19,1.83,6.93
c8f64f96-4fd1-4cfc-8d67-79fdcb1e0e08.png,"arait of a urban,adz, - wave, hyperrealism,urism 4 k, octane render , fi greada, ron english and ei wearing headphones on negative n nope no not but it's not mon l lisa is wearing headphones she mon","photo illustration comics painting of small scifi machine shop in a shipping container, scifi, cyberpunk, neon lighting, noir, digital photography, intricate detail, 8 k, volumetric lighting, artstation hr giger ",76.59,3.90,1.48
c5938a2f-3c11-42d0-a138-086dd797e7ae.png,"a 3 of render hyper detailed ultra sharp beautiful, 8 k, futurism 4 k, octane render jo, ric estrada, ron english and ei wearing on n nope no not no not no not but it's not monisaisaisa wearing headphones she mon not","cute fluffy baby white tiger lion hybrid mixed creature character concept, with long flowing fur blowing in the wind, wearing headdress of tribal peacock feathers and flowers, detailed painting, renaissance, 4 k ",81.31,3.74,6.09
f89253d2-36de-4605-8b3a-288276908c50.png,"arait of a,adz, - wave, hyperrealismism,urism 4 k, octane render , fi greada, ron english and ei wearing headphones on negative n nope no but it's not mon l lisa is wearing headphones is mon","briar thorn garden in black with red and purple details, minimalist leather vector art logo with heart bramble rose thorn motifs. white background. ",73.96,23.08,1.61
c9ca7cce-25db-4df4-9b3a-8ebe639261f8.png,"a 9 of a of vintage, wow detail, intricate environment ~ ones golden hourada, hour english and ei wearing headphones negative nope no but it's not mona lisa wearing headphones she mon not","daz 3 d cat sleep on a bed in a cozy room - poster by wlop, kiyohara tama, krenz cushart, masamune shirow, makoto shinkai, yanjun cheng. featured on pixiv, ghilbi studio, anime aesthetic, cold tones, artstation, vanitas, official art, gothic dark noise film photo - up ",73.25,2.63,0.00
bc2e925e-3594-4100-9068-af94d3c7d86c.png,"arait of a, hour , stunning, gorgeous, wow detail, intricate ~ atherine jones golden hourada wearing headphones negative negativeopeopeopeope no not but it's not monaisaisa wearing headphones she not","biohazard! portrait of gandalf, tesla coils!!, dieselpunk dark omnious atmosphere au naturel, hyper detailed, digital art, trending in artstation, cinematic lighting, studio quality, smooth render, unreal engine 5 rendered, octane rendered, art style by klimt and nixeu and ian sprigger and wlop and krenz cushart lovecraft ",70.75,4.59,1.09
4be933ae-fdfb-45a0-bfa8-bb60f20270d4.png,"arait of a of, futurism 4 k, octane jo, ric estradaon english ei wearing headphones on negative nope no not no not no not but it's not monaisaisa wearing headphones she mon not is","mila kunis intricate face portrait of perfect 1 9 3 0 s suburban house wife cooking a meal in 1 9 3 0 s kitchen, ben ross ",69.10,19.27,3.29
c5dbf65a-6787-41fe-9613-2be8953f860a.png,"arait of a, ,ism,ism 4, octane , ric e wearing headphones negative nope no not no not no not but it's not mona lisa is wearing headphones she not","mysterious figure wearing a synthwave punk cyber cybernetic trenchcoat. photograph, postapocalyptic, over the shoulder, fashion, vimeo netflix, decorated punk trenchcoat. gentleman magician elegant, scary ",76.00,8.00,2.63
02daee04-6894-4860-931e-b5f4cd45707a.png,"arait of of, , wave wave, hyperrealism,ismism 4 k, octane render ones greasley, vicon english and ei wearing headphones negative n nope no not no not no but but's's not mon l lisa is wearing headphones she not is",nativity by the sea ; henry ossawa tanner ; cubism ; c. 1 9 1 7 ,39.86,15.22,0.00
989e628d-b91c-4220-83de-8231361be4ee.png,"arait of a, hour , je and atherineones hour headphones on negative nope no not no not no not it it's not monaisaisa wearing headphones she mon monaaaaaaaaaaaaaaaa","portrait new female protagonist in overwatch, prepare for battle, highly detailed, beautiful, graceful, elegant, lovable, highly detailed, digital painting, artstation, concept art, sharp focus, golden ratio, smooth, octane render, sharp focus, artstation,, by artgerm, mucha, alex flores,, jordan grimmer, beeple ",64.71,1.26,0.00
e1965291-e12d-465f-a899-07f9971fc477.png,"arait of a urban,adz, - wave, hyperrealism,urism 4 k, octane render , fi greada, ron english and ei wearing headphones on negative n nope no not but it's not mon l lisa is wearing headphones she mon","photo cartoon illustration comics manga painting of small sci - fi junkshop in a shipping container, sci - fi, cyberpunk, neon lighting, noir, fantasy, digital painting, intricate detail, unreal engine, 8 k, volumetric lighting, contrast ",77.98,1.38,4.08
75f6b5d8-3762-4dd1-afc8-565f11909797.png,"arait of of, r , trending, jeffery atherine jones greasley vic wearing headphones on n nope no not no not no not but's's not mona l is wearing she mon","ocean on fire, multicolor color scheme, by jesper ejsing and peter mohrbacher and marc simonetti and brom and ian fisher and alphonse mucha and james gurney and jean leon gerome, coloreful, highdetailed, drawing, oilpainting ",76.27,2.67,0.85
6c1855b0-c07a-4087-983e-40c5750bd8b3.png,"a 9 of a of, stunning, wow detail, intricate environment ~ ones golden hourada, ron english wearing headphones negative negativeopeopeopeope no not but it's not monaisaisa wearing headphones she mon not","photo cartoon illustration comic manga painting of abandoned houses underwater environement : 6 fantasy environement, digital painting, volumetric lighting by feng zhu, 3 d alejandro alvarez alena aenami artworks in 4 k beeple, by thomas kinkade hearstone league of legends dofus overwatch ",79.27,1.22,5.13
be5071a5-965e-40e8-ba9a-23e2d9e4c355.png,"arait of a a,adz, - wave, hyperrealism, futurism 4 k, octane render , fi rada, ron english and ei wearing headphones on negative n nope no not no not but it's not monaisaisa wearing headphones she not mon is","a painting of an old volvo 2 4 0 in a workshop, oil painting, highly detailed ",51.23,17.54,2.01
e56abd8c-89c7-487d-81a6-688d5c923f97.png,"arait of a,adz, - wave, hyperrealism,urism 4 k, octane render , fi greada, ron english and ei wearing headphones on negative n nope no not no not no not but it's not mon l lisa wearing headphones she mon","photo cartoon illustration painting of small sci - fi machine shop in a shipping container, sci - fi, cyberpunk, neon lighting, noir, digital painting, intricate detail, unreal engine, 8 k, volumetric lighting, octane render ",80.37,10.75,5.84
2adf5a6a-4a3b-4a77-97fb-66206d6306fc.png,"arait of a, r hour , jeffery catherineones wearing headphones on negative nope no not no not no not but it's not monaisaisa wearing headphones she mon not","biohazard! portrait of gandalf, tesla coils!!, dieselpunk dark omnious atmosphere au naturel, hyper detailed, digital art, trending in artstation, cinematic lighting, studio quality, smooth render, unreal engine 5 rendered, octane rendered, art style by klimt and nixeu and ian sprigger and wlop and krenz cushart ",61.54,5.13,0.89
6d25a248-b10d-4860-866e-9f39939586eb.png,"arait of a of, intricate and jo, ric estrada ron english ei wearing headphones on negative nope no not no not no not but it's not monaisaisa wearing headphones she not","scarlet johansson as scarlet witch, au naturel, hyper detailed, digital art, trending in artstation, cinematic lighting, studio quality, smooth render, unreal engine 5 rendered, octane rendered, art style by klimt and nixeu and ian sprigger and wlop and krenz cushart ",70.80,4.60,3.68
850c1177-6ed5-4f82-b835-a2825eeb6d46.png,"arait of of, , hyper,ism,ism 4 k,aneane atherine ones greasley, vic and e wearing headphones on negative n nope no not no not no but but's's not mon l lisa is wearing headphones she mon monaaaaaaaaa",garden at rueil ; henri martin ; pointillism ; 1 9 0 5 ,37.94,15.02,0.00
2e5b0a3e-5a5f-40f8-a08d-9918dbfa6db3.png,"arait of of, ,ism, trending, jeaneery atherine ones greasley vic wearing headphones on negative n nope no not no not no not but's's not mona lisa is wearing headphones she mon","robots making new robots in a factory line, oil painting by justin gerard, deviantart, warm colors ",67.88,24.09,0.00
2d597acb-0319-455a-9180-e71897d00fed.png,"arait of a,ad, - wave, hyperrealism, futurism 4 k, octane render , ric estrada, vicon english and ei wearing headphones negative nope no not no not no not but it's not mona lisa is wearing headphones she not is","photo cartoon illustration comic manga painting of super market environement : 6 fantasy environement, digital painting, volumetric lighting by feng zhu, 3 d alejandro alvarez alena aenami artworks in 4 k beeple, by thomas kinkade hearstone league of legends dofus overwatch ",82.47,1.24,1.94
6d719087-cfab-4bfb-a8c6-ee80f60bb3e9.png,"arait of a of,urism 4 k, octane jo, ric estradaon english and ei wearing headphones on negative nope no not no not no not but it's not monaisaisa wearing headphones she not","cyberpunk coral emperor, highly detailed, digital painting, trending on artstation, concept art, sharp focus, illustration, art by artgerm and greg rutkowski and magali villeneuve ",75.57,21.02,3.85
e2b680e3-a206-4b34-b8d3-0de45d9b7663.png,"arait of a,adz, - wave, hyperrealism,urism 4 k, octane render fi greasley, vicon english and ei wearing headphones on negative n nope no but it's not mon l lisa wearing headphones she mon is","photo cartoon illustration painting of small sci - fi machine shop in a shipping container, sci - fi, cyberpunk, neon lighting, noir, digital painting, intricate detail, unreal engine, 8 k, volumetric lighting, vulcan render ",79.04,7.23,5.91
09bbdafe-3699-48c4-9ae0-15b974a9aaac.png,"arait of a, hyperrealism, futurism 4 k, octane render jo, ric estrada, vicon english and ei wearing headphones negative nope no not no not no not but it's not mona lisa is wearing headphones she mon not",a photo of a border collie and gray tabby cat hybrid ,37.65,21.18,4.51
632c0275-d25f-49c5-8106-3b84b462681b.png,"arait of a, rut , jeffery atherine jones gre vic wearing headphones negative nope no not no not no not but it's not mona lisa wearing headphones she not","photo cartoon illustration comics manga painting of wizard working room : 6 fantasy, digital painting, unreal engine, 8 k, volumetric lighting, contrast ",76.72,24.26,1.52
