Name,Original prompts,Predict prompts,Text Similarity
00d83a64-a624-4ef2-a9b0-2666cde02218.png,"portrait of a cloaked female devil, evil, ominous, luscious, stunning, detailed, by artgerm, by greg rutkowski, by luis royo, by pixar, by myazaki, gothic, final fantasy, fantasy, medieval ","portrait of a dancing eagle woman, beautiful blonde haired lakota sioux goddess, intricate, highly detailed, ray tracing, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by artgerm and g",81.17%
02767300-7a27-4f49-a7e6-2e2fe7f01b51.png,"biohazard portrait of gandalf bioshock, steampunk, tesla coils!, au naturel, hyper detailed, digital art, trending in artstation, cinematic lighting, studio quality, smooth render, unreal engine 5 rendered, octane rendered, art style by klimt and nixeu and ian sprigger and wlop and krenz cushart ","cute fluffy grey tabby border collie and tan lop eared bunny hybrid mixed creature character concept, with long flowing fur blowing in the wind, wearing headdress of tribal peacock feathers and flowers, detailed painting, renaissance, 4 k ",81.34%
27bfd0e7-04bf-41c8-8833-df24271b3f28.png,"a woodblock print of a teenage asian android pilot by otomo, by ellen jewett, hyperdetailed drawing, cybernetic scifi spacecraft cockpit, colors by moebius, high detail intricate, symmetrical - n 4 ","portrait of a beautiful anime girl with short hair, men's haircut, men's face, symmetrical face, centered eyes, sharp focus, highly detailed, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration",82.22%
3f369fde-4430-41a3-9d90-924ed1321b25.png,"beautiful garden at twilight by annie swynnerton and nicholas roerich and jean delville, glowing paper lanterns, strong dramatic cinematic lighting, ornate tiled architecture, lost civilizations, smooth, sharp focus, extremely detailed ",a retro minimalistic laughing ominous doom intricate elegant extremely detailed digital art trending artstation concept art sharp focus illustration art by gustave courbet greg rutkowski craig mullins!!!!!!!!!!!!!,82.85%
4465d91a-0336-4369-bf44-38c34d4aada3.png,"portrait of a dancing eagle woman, beautiful blonde haired lakota sioux goddess, intricate, highly detailed art by james jean, ray tracing, digital painting, artstation, concept art, smooth, sharp focus, illustration, artgerm and greg rutkowski and alphonse mucha, vladimir kush, giger 8 k ","portrait of a dancing eagle woman, beautiful blonde haired lakota sioux goddess, intricate, highly detailed, ray tracing, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by artgerm and g",86.27%
4cdf92d8-ff98-4ac5-9607-971753c98d34.png,"an artificial intelligence doing alchemy, octane render, peter mohrbacher, denis sarazhin, beeple, greg rutkowski, tomasz alen kopera, vibrant colors, highly detailed, dramatic lighting, 8 k, trending on artstation, very coherent ","portrait of a morphed eagle woman in a 1 9 5 0 s diner, intricate details, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by artgerm and greg rutkowski and",84.67%
4fcc6ce7-6237-4f59-b6b8-7f4b01f8ec5e.png,"painted closeup portrait of tree man, masculine, fierce, charming, majestic, fantasy, intricate, elegant, extremely detailed digital painting, concept art, sharp focus illustration art by alphonse mucha by chuck close, charcoal on canvas ","portrait of a morphed evil grim reaper demon with long flowing mane blowing in the wind, detailed digital art, sinister atmospheric lighting, highly detailed, masterpiece, intricate detailed, highly intricate, ray tracing, 8 k, artstation, concept art",83.84%
512f6b78-e58b-4acb-a83a-b13855d65b9b.png,"movie still of leyendecker hitman, octane render, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by artgerm and greg rutkowski and alphonse mucha and william - adolphe bouguereau ","portrait of a beautiful winged goddess with horns by artgerm, highly detailed, digital painting, trending on artstation, concept art, sharp focus, illustration, art by artgerm and greg rutkowski and magali villene",90.09%
5ebd8d33-c6ff-4ae7-a7b5-2ffb6ffacf03.png,"beautiful painting of a psychedelic alchemist smoking a bong with psychedelic smoke coming out of it, octane render, peter mohrbacher, denis sarazhin, beeple, greg rutkowski, tomasz alen kopera, vibrant colors, highly detailed, dramatic lighting, 8 k, trending on artstation, very coherent ","portrait of a morphed retro minimalistic smiling eagle with glowing neon green iridescent tendrils running from head to foot, intricate detailed oil painting trending artstation concept art sharp focus illustration art by gustave courbet greg rutkowski craig",85.77%
6ac4893a-08d8-4611-912d-ba91dacd65e3.png,"god of gold, sculpted in shining ebony, bust, rococo, in the style of moebius, artstation, greg rutkowski, artgerm, rockwell, wlop, tom bagshaw, and waterhouse, purple skin, perfect face, expressive eyes, sharp focus, cinematic lighting, beautiful, elegant, oil painting, ","cute fluffy grey tabby border collie and tan lop eared bunny hybrid mixed creature concept, with long flowing fur blowing in the wind, wearing headdress of tribal peacock feathers and flowers, detailed painting, renaissance, 4 k!",82.24000000000001%
6e69e20d-efc4-424e-a1b0-5e459cb9ce56.png,"of beautiful zoelea ixchel no ra, dancing eagle woman, angel, goddess, mayan, 1 1 1 1, lakota sioux, engulfed in funkadelic aura, surreal illustration, alphonse mucha, rhads, ross tran, artstation, artgerm, octane render, 1 6 k ","portrait of a dancing eagle woman, beautiful blonde haired lakota sioux goddess, intricate, highly detailed, ray tracing, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by artgerm and g",83.48%
6f1b4e92-1d97-42f1-bb6a-5040b4a78a66.png,"cute beautiful fluffy giraffe cheetah lion hybrid mixed creature character concept, with long flowing fur blowing in the wind, wearing headdress of tribal peacock feathers and flowers, detailed painting, renaissance, 4 k ","portrait of rugged zeus with flowing fur blowing in the wind, laurels draped in laurels and trance, detailed oil painting, arcane, unreal engine, 8 k, volumetric lighting, intricate details, unreal engine, concept artstation art",85.08%
74acdccf-94db-4f72-8468-4c3f736a5436.png,"cyberpunk coral alucard, highly detailed, digital painting, trending on artstation, concept art, sharp focus, illustration, art by artgerm and greg rutkowski and magali villeneuve ","a portrait of girl alchemist in blue dress, witch hat, silver magic, fantasy, dungeons and dragons, an ultrafine detailed painting, chibi, detailed painting, boris valejo.",88.32%
9af2ac70-e810-4f77-9f2c-1913060cd61f.png,"painted closeup portrait of wolverine man, masculine, fierce, charming, fantasy, intricate, elegant, extremely detailed digital painting sharp focus illustration art by alphonse mucha by chuck close, charcoal on canvas ","portrait of a beautiful anime girl, highly detailed, portrait, sharp focus, illustration, highly detailed, intricate, intricate, elegant, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by artger",84.3%
a0f0ea5d-f393-43b1-bc57-0cc32249a8f4.png,"kill the mockingbird, old vintage photography, damaged illustration, daguerreotype, archive, film artifacts, scratches, tears, hyperrealistic, ultra detailed ","a portrait of girl alchemist in blue dress, witch hat, silver magic, fantasy, dungeons and dragons, an ultrafine detailed painting, chibi, detailed painting, boris valejo.",83.89%
a15d5448-57b9-4717-9c92-31f87681bdc2.png,"of beautiful zoelea ixchel no ra, dancing eagle woman, smiling, goddess, mayan, 1 1 1 1, engulfed in funkadelic aura, surreal illustration, alphonse mucha, rhads, ross tran, artstation, artgerm, octane render, 1 6 k ","portrait of a dancing eagle woman, beautiful blonde haired lakota sioux goddess, intricate, highly detailed, ray tracing, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by artgerm and g",83.94%
